polled_at_utc,station_id,num_bikes_available,num_docks_available,is_renting,is_returning,is_installed,last_reported
2026-09-06T00:07:37+00:00,6026,13,20,True,True,True,1788653251
2026-09-06T00:07:37+00:00,5431,2,17,True,True,True,1788653251
2026-09-06T00:07:37+00:00,5424,0,17,True,True,True,1788653251
2026-09-06T00:07:37+00:00,5220,0,20,True,True,True,1788653251
2026-09-06T00:07:37+00:00,5217,23,6,True,True,True,1788653251
2026-09-06T00:07:37+00:00,5113,10,2,True,True,True,1788653251
2026-09-06T00:07:37+00:00,4683,2,18,True,True,True,1788653251
2026-09-06T00:07:37+00:00,4552,2,16,True,True,True,1788653251
2026-09-06T00:07:37+00:00,3725,1,16,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2358,0,11,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2357,12,9,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2355,5,6,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2351,0,17,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2350,0,23,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2349,1,19,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2347,9,20,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2340,0,23,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2339,8,22,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2337,12,3,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2334,12,0,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2333,8,6,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2332,11,1,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2330,14,1,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2329,2,13,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2328,20,0,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2315,9,7,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2308,6,1,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2307,1,29,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2306,18,0,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2305,2,13,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2304,1,17,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2280,6,7,True,True,True,1788653251
2026-09-06T00:07:37+00:00,2270,15,4,True,True,True,1788653251
2026-09-06T00:07:37+00:00,1919,4,2,True,True,True,1788653251
2026-09-06T00:07:37+00:00,1755,6,25,True,True,True,1788653251
2026-09-06T00:07:37+00:00,1101,17,4,True,True,True,1788653251
2026-09-06T00:07:37+00:00,1023,8,7,True,True,True,1788653251
2026-09-06T00:07:37+00:00,1009,1,8,True,True,True,1788653251
2026-09-06T00:07:37+00:00,970,2,21,True,True,True,1788653251
2026-09-06T00:07:37+00:00,787,8,4,True,True,True,1788653251
2026-09-06T00:07:37+00:00,627,6,24,True,True,True,1788653251
